Job_position,Company,Location,Salary,requirements
ReactJS Developer,Totalcloud Inc,"Bengaluru, Karnataka","4,00,000 - 10,00,000 a year",To come up with/develop new user features for providing great UX to users..Software development: 1 year (Preferred).Total work: 1 year (Preferred).
Software Developer (MSSQL),Siemens Technology and Services Private Limited,"Pune, Maharashtra",-999,"You must possess Strong software development skills (design methods, clean code development, review techniques), problem solving, and analytical skills ."
Backend Developer,Vitosia Healthcare,"Madhapur, Hyderabad, Telangana",-999,"Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user…"
Mainframe Developer,Infosys Limited,"Bengaluru, Karnataka",-999,"As part of the Infosys Delivery team, you will work on implementing designs, developing high quality programs and systems, partnering with our clients to ensure…"
SOFTWARE DEVELOPER,Daga Elecmatics LLP,"Jaipur, Rajasthan",-999,"Strong Microsoft technologist with hands-on experience in object oriented design and development using .net, Azure Development and Microsoft technologies."
Web Designer & Developer,Bidya 2nd Sale Private Limited,"Delhi, Delhi","14,000 a month",Develop and design of website and update as necessaries time to time.Good communication skills and have degree Or diploma in that field.
Web Developer,AI Engineer,"Mangalore, Karnataka","17,000 - 25,000 a month",Help back-end developers with coding and troubleshooting.Proven work experience as a Front-end developer.Optimize applications for maximum speed.
Cassandra Application Developer,Accenture,"Bengaluru, Karnataka",-999,Technical Experience : 1 2-3 years of experience in In-memory data structure store administration with an emphasis on Redis 2 Requires 2-5 years of related…
Software Engineer,legatohealth.com,India,-999,Good hands-on experience on Informatica as an ETL tool.Good hands-on experience on Informatica as an ETL tool.4+ Years of exp into IT.
Salesforce Support and Developer - Contract,ChargePoint,"Gurgaon, Haryana",-999,"Since our founding in 2007, ChargePoint has focused solely on EV charging and established a business model that's been validated by more than a decade in…"
Excel VBA Developer,ICHHAPURTI.COM,"Gurgaon, Haryana","40,000 a month",Participate in code reviews to ensure best practices and established standards are in use.Develop test plans and software documentation to support new releases…
Dot Net Developer,DigiXhub,Remote,"3,00,000 - 7,00,000 a year", Coordinating role in ensuring that proper implementation steps are followed so that there is an orderly marriage between user requirements and system…
Walkin Drive - Node Developer,Upperthrust Technologies,"Pune, Maharashtra",-999,"Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}.Time : 11 AM to 4 PM."
IOS Developer-chups,Skoruz,"Bengaluru, Karnataka",-999,"Collaborate with cross-functional teams to define, design, and ship new features.Proven working experience in software development."
Senior Software Developer,Hatch,"Gurgaon, Haryana",-999,Experience with software configuration management; software quality assurance methodologies.Join our diverse team and award-winning culture and be part of our…
Software Developer_C&Golang,Hewlett Packard Enterprise,"Bengaluru, Karnataka",-999,"Participates as a member of project team of other software applications engineers and internal and outsourced development partners to develop reliable, cost…"
Magento Developer,Initial Management Services,"New Delhi, Delhi","4,00,000 - 10,00,000 a year",Total work: 3 years (Required).JavaScript is a must for front-end development.Regularly update our Magento installation.4+ years of Exp only.
Python Developer(Frappe),Limbic Technologies,"Bhopal, Madhya Pradesh","5,000 - 10,000 a month",Build full applications on Frappe framework from scratch as per project requirements.Able to create database schemas that represent and support business…
Software Developer – Asp.Net “Winforms”,A Prestigious client of Destiny HR Group Services,"Moti Nagar, Delhi",-999,NET technology and have project based experience with C# .Excellent applied skill of object orientation & design patterns.Working Days: Monday to Friday.
WordPress Developer,Ampexcel Technologies,"Noida, Uttar Pradesh","12,000 - 20,000 a month",The candidates looking for a hike on the previous salary must have solid proof of the previous organization such as; Offer Letter/Relieving Letter/Experience…
Software Development Engineer-II (Front End),Innovacer,"Noida, Uttar Pradesh",-999,"Collaborate with other development teams, quality engineering team, and documentation teams to execute product deliverables.A Day in the Life."
Software Developer,ITAdministrator,"Mumbai, Maharashtra","14,000 - 30,000 a month","Total work: 3 years (Required).IT Company Looking For Visual Basic 6 for In House Development Team Work.\* Create Own Controls DLL, OCX."
Software Developer ( API Integration ),Dreamwares IT Solutions LLP,"Nashik, Maharashtra",-999,Experience in integrating 3rd party systems using APIs.1 to 4 years experience in any language ( experience in API integration will be given higher preference)…
Developer Database,Orasol Info Technologies,"Agra, Uttar Pradesh",-999,"You should be able to work as an independent team member, capable of applying your own judgment in the areas of software development."
URGENT HIRING FOR .NET DEVELOPER,Mansha Solutions,"Kalkaji Devi, Delhi","7,00,000 a year",Serve as an expert on applications and provide technical support Industry - System Integration.Participate in requirements analysis Collaborate with internal…
Software Developer,Inspire Global Solutions,"Chennai, Tamil Nadu","20,000 - 30,000 a month",Develop software verification plans and quality assurance procedures.Should be a quick learner and have an aspiration to learn new technologies.
"RPA Developer (UI Path, Automation Anywhere)",BirlaSoft,"Hinjawadi, Pune, Maharashtra",-999,"4-5 Years in Automation Anywhere/ UI Path.At least 2 years of professional experience in programming (including scripting /coding), SQL and relational…"
Software Developer Intern - Remote Winter 2021,skilora,Remote,-999,You are excited to take on the difficult challenges of building highly available distributed systems and the responsibilities that come with developing mission…
Web Developer,codesouq,"Kochi, Kerala","15,000 - 20,000 a month",Looking for a web developer to assist a lady project manager on an ongoing project at Kochi.Future scope will be based on the quality of work.
Dot Net Developer,Ocrex Enterprises Private ltd,"Mohali, Punjab","40,000 a month",Providing support for Templates in our WPF based product using C# Classes..Providing support for Templates in our WPF based product using C# Classes.
Developer MCO,Standard Chartered,"Chennai, Tamil Nadu",-999,Developer role for developing web-based applications.We're committed to promoting equality in the workplace and creating an inclusive and flexible culture -…
Full Stack Developer,Techlify Inc,Remote,"75,000 - 1,00,000 a month",Work in a team with 3-8 other developers.Work on reviewing other developers code.We are looking for Outstanding Full Stack Developers with minimum 3 yrs of…
Experienced Full Stack Developer: Android/Angular and JAVA E...,SmarTECHS,"Bengaluru, Karnataka","1,600 an hour","Angular developers can also apply.We need an online Work-From-Home FULL STACK DEVELOPER having 2+ years of Android, Core JAVA EE and REST API development…"
Full Stack Developer,RentPERKS Property Management,"Bengaluru, Karnataka","70,000 a month",Anywhere. As we expand further into the US and UK markets in 2020-2021 we have decided to off-shore part of our development base and are seeking to appoint an…
Sr.Net Developer,ASAG AndroApps Technology Pvt.Ltd,"Bengaluru, Karnataka","5,00,000 a year","Writing clean, testable code using .Analyzing system requirements and prioritizing tasks.In-depth knowledge of & experience on MVC."
Magento Developer,Envelor Corporation,"Noida, Uttar Pradesh",-999,"Strong understanding of design patterns and coding best practices.UI/UX development using JavaScript, jQuery and other JS libraries."
Software Engineer 2 - SFDC,Dell Technologies,"Bengaluru, Karnataka",-999,"Our IT Software Engineer team turns business requirements into technology solutions by designing, coding and testing/debugging applications, as well as…"
Angular Developer - Node.js/HTML/CSS,Holmium Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","1,50,000 - 2,00,000 a year","Write well designed, testable, efficient code by using the best software development practices - Create a website layout/user interface by using standard HTML…"
Sr. Node.js Developer,Lotus Interworks Inc,Remote,-999,Proven 5 - 6 years experience developing server-side applications using Node.js.Developing server-side applications using Node.js: 5 years (Preferred).
Senior .Net Developer,Origami Software Pvt Ltd,"Bengaluru, Karnataka","5,26,900 - 17,56,460 a year","\* Good skillsets in software design, good coding practices, and experience in software testing.\* Experience in using Windows 2008 / 2012 R2 server, Active…"
Web Designer & Developer,Booster Technologies,"Zirakpur, Punjab","30,000 a month","Must develop with discipline and ensure conformity to architecure.Should have expertise in Core PHP.Development of Websites, Plugins based on Wordpress."
Blockchain Developer,Enigma Tech,"Goa, Goa","16,528 - 59,699 a month","Should have knowledge specific to smart contract development using Chain Code Lifecycle - Knowledge pertaining to ERC20 Tokens, Bitcoin and RSK based smart…"
Full Stack Developer,SpiderOrb Pvt. Ltd,"Mohali, Punjab","13,917 - 53,498 a month",We are looking for more than 3 year Full Stack Python Developer to join our enthusiastic team who will be responsible for developing and maintaining various…
Software Developer Android,Arizon Systems,Remote,"75,000 a month","Work involves design and development of Cutting Edge Augmented and AI software for interfacing with Process Equipment*.Job Types: Full-time, Walk-In."
Software Developer at React Native Mobile App,LaakBot Software and Services Limited,"Chennai, Tamil Nadu","45,000 - 50,000 a month",React Native experience is mandatory which is minimum of 3 years.React Native Mobile Development: 3 years (Required).Expected Start Date: 20/1/2021.
ReactJS Developer,Infinite blue Pvt Ltd,"Gachibowli, Hyderabad, Telangana",-999,"Strong learnability - ability to quickly grasp new concepts and technologies.Proven work experience of 2-4 years in web development, with at least 1 years in…"
Software Engineer,Giift Plus India Pte Ltd (Giift),"Mumbai, Maharashtra","20,000 a month","Ultimately, the role of the Software Engineer is to build high-quality, innovative and fully performing software that complies with coding standards and…"
Mobile Application Developer,LearnQ.ai,"Bengaluru, Karnataka","6,00,000 a year",We are a technology and data-first business.We are seeking an extremely talented mobile app developer to help pioneer the next wave of Ed-Tech.
Front End Developer,AllianceTech,Remote,"7,00,000 a year",You are an experienced front-end developer who is passionate about writing great modular code and implementing front-end features that users love to use.
Backend Developer,AllianceTech,Remote,-999,You are an experienced back-end developer who is passionate about writing great modular code and implementing back-end features that are stable and efficient.
"Fullstack developer (CodeIgniter, HTML & CSS)",Interstellar Consulting GmBH,"Bengaluru, Karnataka","24,000 - 32,000 a month",You should have a minimum 3 year of industry experience developing full stack PHP applications.Deliver high-quality and maintainable code using test-driven…
PHP/MYSQL Web Application Developer,Hal Simplify Solution,"Chennai, Tamil Nadu","3,50,000 - 5,00,000 a year","Total work: 3 years (Preferred).Demonstrated abilities in creating web applications, services, and APIs.Thorough knowledge in relational database design and…"
Front End Developer - Magento 2,"Madison(China)Industrial Co.,Limited","Bengaluru, Karnataka","40,000 - 90,000 a month","_MCI is looking for Front End Developers who is responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for…"
Senior ServiceNow Developer,Alcor Solutions Inc.,"Noida, Uttar Pradesh","7,54,564 - 12,95,885 a year","Collaborate with other business and technical teams to develop user friendly catalog items using ServiceNow's latest tools including Studio, Flow Designer, and…"
Web Designer & Developer,Zaveri Bros Diamonds and Gold Pvt Ltd,"Coimbatore, Tamil Nadu","5,000 - 10,000 a month","Will be asked to develop an Loyalty APP for the company.Job requires to maintain and enhance/develop/secure existing ecommerce platforms owned by the company ,…"
PHP Developer (laravel Framework),RishiRaj Media,"Mehrauli, Delhi, Delhi","25,000 - 30,000 a month","Any other expertise is an added advantage.Good understanding of web application development best practices, performance optimization, security basics, etc."
Android Developer,Abhinav IT Solutions Pvt Ltd,"Pune, Maharashtra","12,000 - 15,000 a month","We are hiring an Android Developer for designing, developing and supporting high-quality mobile applications.Fixing bugs and improving application performance."
Front End Developer,LearnQ.ai,"Bengaluru, Karnataka","5,50,000 a year",We are a technology and data-first business.We are seeking an extremely talented frontend developer to help pioneer the next.Our goal is to help.
Dell Boomi Developer - Freelancer,DevCool Inc.,"Pune, Maharashtra",-999,"Experience integrating multiple systems, applications, and services using Boomi Integration Cloud.4+ years of experience in Cloud integration using Dell Boomi."
Staff Product Developer,BMC Software,"Pune, Maharashtra",-999,"It is the policy of BMC Software to afford equal opportunity for employment to all individuals regardless of race, color, age, national origin, physical or…"
Software Developer,Solomons International,"Hyderabad, Telangana",-999,Develops and maintains software applications and integrates software components with external systems via webservices into a fully functional software system.
Front End Developer,Metric Tree Labs,"Ernakulam, Kerala","30,000 - 35,000 a month",Developing new user-facing features using front-end technologies.We are looking for front end developers who are proficient in front-end technologies.
Experienced Software Engineer - Remote work,SL Technology,"Mumbai, Maharashtra","65,000 - 75,000 a month",Software developer with 5 years of work experience working on ERP or SAAS applications is a must.Create and maintain features list based on business need.
PHP Developer - Laravel/ Codeigniter Framework,N2R TECHNOLOGIES,"Noida, Uttar Pradesh","25,000 - 45,008 a month",Passion for best design and coding practices and a desire to develop new bold ideas.Understanding of MVC design patterns.We are 5 Days Working.
Full Stack Developer(Shopify Developer),Esthetic Insights Pvt. Ltd.,"Hyderabad, Telangana","7,20,000 - 12,00,000 a year","Extending Shopifys functionalities to next level using storefront APIs, liquid programming, meta fields, etc.Producing high quality of work with a strong focus…"
Angular Developer,Sparsh Technologies,"Nagpur, Maharashtra","25,000 - 50,000 a month",Software development: 3 years (Preferred).Total work: 3 years (Preferred).Logical thinking and team handling skill needed.Temporarily due to COVID-19.
ASP.NET MVC Developer,Cadvil Technologies Pvt Ltd,"Kadavanthara, Kerala","2,40,000 - 4,40,000 a year","The selected candidates will be part of a strong development team, and will be responsible for translating complex business requirements into functional web…"
Android | Flutter Developer,Cliffex,"Delhi, Delhi","12,000 - 50,000 a month","Experience with JSON, XML, JavaScript, and interfacing applications to server side API’s.Cliffex is looking for app developers with working experience of…"
Wordpress PHP Backend Developer,Development Logics,"Noida, Uttar Pradesh","25,000 - 40,000 a month",PHP Development: 3 years (Preferred).At least 4 years of WordPress web development experience in a full-time role.Optimising front-end development workflow.
Front End Developer - Angular / React JS,Minmegam Internet Services,"Coimbatore, Tamil Nadu","15,000 - 25,000 a month","Having 1+ Years of Work Experience in.Angular JS or React JS.Salary: ₹15,000.00 - ₹25,000.00 per month.Total work: 1 year (Required)."
Backend Developer,Designfort Software House LLC,"Kochi, Kerala","25,000 - 50,000 a month","Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and…"
Angular Developer,Sagacity Softwares pvt. ltd.,"Pune, Maharashtra",-999,"Documenting the code inline using JSDoc or other conventions.Sagacity Softwares Private Ltd is an IT Services company based out in Pune, India."
Angular Developer,Manappuram Finance Limited,"Trichur, Kerala","2,50,000 - 6,00,000 a year","Skills*: Angular, HTML5, CSS 3, Bootstrap, JavaScript,Web developer,CSS,JavaScript,HTML,Full stack developer, Python, php developer, front end developer,Node js…"
Xamarin Developer,sensussoft software pvt ltd,"Surat, Gujarat","35,000 a month",Good understanding of OOP and design patterns..- Experience using social media APIs.Candidate should have knowledge of Xamarin_ Forms-based development..
Dot Net Developer,Manappuram Finance Limited,"Trichur, Kerala","2,50,000 - 6,50,000 a year","Net, SQL Webforms, VB, JQuery, oracle,net developer,software developer,net developer,dot net,developer, software engineer, .net, c# developer, asp.net developer…"
Android Developer,Manappuram Finance Limited,"Trichur, Kerala","20,000 - 40,000 a month","Flutter developer, android application developer, android developer experience, software engineer, software developer, computer science."
Full Stack Developer,Solvencia Technologies Pvt Ltd,"Hyderabad, Telangana","6,00,000 - 9,00,000 a year","Full Stack Developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications and working alongside…"
Full Stack Developer - React,TaskPro Services,"Navi Mumbai, Maharashtra","25,000 - 85,000 a month","The type of developer we’re looking for should have expertise in React and Redux for Frontend and AWS, NodeJS and Firebase for Backend."
Java Developer,New York Technology Partners,"Bengaluru, Karnataka","15,00,000 - 17,00,000 a year","If you believe you are qualified for this position and are currently in the job market or interested in making a change, please give me a call at +91 9322201140…"
PHP Developer,Easyjobs Recruitment,"Kochi, Kerala","15,000 - 25,000 a month",Passion for best design and coding practices and a desire to develop new bold ideas.Proven software development experience in PHP.
Software Developer,Awapal Solutions,"Noida, Uttar Pradesh",-999,"Developing the web based software using computer programming languages such as ASP.net, C# and MSSQL.Designing back-end database structures for the web…"
Associate Professional Software Engineer (51007431),DXC,"Chennai, Tamil Nadu",-999,Assists in customizing purchased applications and assists in maintaining program libraries and manuals based on research and customer needs.
Experienced Windows Application Developer,Arbor Financial Systems,"Chandigarh, Chandigarh",-999,"With knowledge of good coding practices you will need to have a good eye for detail and the ability to deliver high quality front end applications, plus…"
Software Developer,GLOBAL SERVICES,"Bhayandar, Maharashtra","3,50,000 - 5,50,000 a year","Coding, testing , developing software application .Coding, testing , developing software application .ASP.net C# on Framework 3/3.5/4,4.5,SQL server 2005…"
ReactJS Developer,Secure Learning,"Udaipur, Rajasthan",-999,"In this role, you will be responsible for developing and implementing user interface components using React.js concepts and workflows such as Redux, Flux, and…"
Developer .NET C#,Kreloses,Remote,"30,000 - 54,000 a month",We are committed to producing great software here in Asia with local talent across all areas of the business.Additionally as we succeed in this industry we are…
C++ Developer - 2033,ION,"Noida, Uttar Pradesh",-999,"You will work in collaboration with other developers, product owners and business analysts focusing on both infrastructure and application development."
Web Developer (PHP),Ortu Software Pvt Ltd,"Noida, Uttar Pradesh","3,50,000 - 5,00,000 a year","Ortu Software Pvt Ltd is looking to hire web developers with experience in PHP technology..2-4 years* of experience in programming in CorePHP, *Mysql,…"
DB Developer,ECS Fin,India,-999,"Ability to understand front-end users requirements and a problem-solving attitude.Skill Set: SQL, PL/SQL.Hands on experience with SQL and PL/SQL."
Software developer (Angular),Algoworks Solutions,"Noida, Uttar Pradesh",-999,"Create complex web applications and user interfaces using JavaScript, HTML, and CSS.Experience with responsive layout and design, preferably with Bootstrap…"
Software developer (Node.js),Algoworks Solutions,"Noida, Uttar Pradesh",-999,Should have the ability to plan and execute projects to deliver in time and with quality.Should be proficient with Node.js and JavaScript design patterns.
Full Stack Developer,Barclays,"Pune, Maharashtra",-999,"The role will involve developing and supporting the front end and back end sides of any new or existing web based applications in our portfolio, to become a…"
Junior Software Developer / Software developer,La Exactlly Software Pvt. Ltd,"Salt Lake City, West Bengal","15,000 - 22,000 a month","Designation : junior software developer / software developer :Skill : VB.net ,.net , Devexpress, Proficient in VB.Job Types: Full-time, Regular / Permanent."
Angular JS Developer,Parity InfoTech Solutions,"Patper Ganj, Delhi",-999,"Experience with all levels of operation available to the front-end, such as from creating XHRs in vanilla JS to using a custom wrapper around $resource."
Software Developer Intern,Edure,"Thiruvananthapuram, Kerala","8,000 - 10,000 a month","Experience developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC).Document and maintain software functionality."
Frontend Developer,Confer Global,"Pune, Maharashtra",-999,"Using JavaScript, HTML, and CSS, this candidate will be able to translate user and business needs into functional frontend design."
Junior Software Developer,Mectoi Technologies,India,-999,"B.Tech./B.E. (CS/IT/EC).0-2 years of ASP.Net(MVC) frame works, jQuery, html, CSS, Bootstrap.Knowledge in MVC frame works.Must have knowledge in ASP."
Software Developer React Native,FarEye,"Noida, Uttar Pradesh",-999,Position: Software Developer React Native.We are looking for a Software Developer React Native who is responsible for taking complete ownership of modules…
Java Developer,Skill Deck,"Bengaluru, Karnataka","3,79,303 - 14,81,471 a year",Software development: 2 years (Preferred).Experience 2 to 4 years.Immediate joiner upto 15 days.Work from home initially and later have to report to office.
Software Developer,inlogic,India,-999,Responsible for developing code for web and windows based applications.Deliver quality code that meets the business requirements (on time).
"Software Java Developer hiring (Core,Advance) Fresher/Exp.",Afrin Sithara J (Proprietor Of Shahi India Co),"Indore, Madhya Pradesh","1,50,000 - 2,50,000 a year","Req.Software core,Advance Java with gud comm skill,Kowledge of PHP,Android,c++,html,web developer aply.Industry Type IT-Software, Software Services."
Application Developer - .Net,Easy Solution,"Delhi, Delhi",-999,Net Core will be preferred.
Laravel Developer,Creaive panda,"Ernakulam, Kerala","25,000 a month",You must also possess a strong knowledge of web application development using PHP programming language and MySQL Server databases.
Backend Developer-(With experience in Python and Django),Ezyschooling,"Delhi, Delhi","20,000 - 30,000 a month","A solid understanding of how web applications work including security, session management, and development best practices.Hands-on experience in Django."
WordPress Developer,Succeed Technologies,"Bengaluru, Karnataka","15,000 - 35,000 a month","We are seeking an experienced WordPress Developer responsible for both back-end and front-end development, including creating WordPress themes and plugins."
Software Developer,Coreapp,Remote,-999,Possess a minimum of 3-5 years of hand-on development of BASIC and Advance BASIC technology.Collaborate with business analysts and technical leads across…
Software Developer,Rejola IT Services,"Chennai, Tamil Nadu","20,000 - 25,000 a month","Software development: 1 year (Preferred).Minimum percentile of 50% in 10th, 12th, UG & PG (if applicable).With exposure in handling Ecommerce projects."
Intermediate Software Engineer,Hitachi Vantara,"Hyderabad, Telangana",-999,"Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society."
Front End Developer,Happay,"Bengaluru, Karnataka","7,00,000 - 10,00,000 a year","We use technology to empower enterprise customers to automate, analyse and control business spends.We're looking for an _experienced developer to lead the…"
DB Developer,Seven Lakes Technologies,India,-999,"The software engineer provides advanced technical support in the research, experimentation, business analysis and use of systems technology including…"
SOA/OSB Developer,Nile Technologies,"Delhi, Delhi",-999,"Experience : 1- 3 Years Location : Delhi NCR.Salary : Negotiable with the current.Office timing: 5 days working .Net 3.5/4.0, C#, ADO."
Database Administrator/ Developer,Sertel Freelancing Firm,"Pune, Maharashtra","15,000 - 20,000 a month","Setup and maintain documentation and standards.Design, configure, and resolve problems with the database or related applications.No. of opening positions: 2."
Full Stack Developer(software developer),Future India Services,"Jaipur, Rajasthan","3,00,000 - 7,00,000 a year","Has a keen interest in programming and problem solving.Should have experience in the following:Should have basic understanding of the cloud systems like AWS,…"
Software Developer,Vebsigns Technologies,"Pune, Maharashtra","20,000 a month","3.) Must have knowledge of PHP Laravel, MySql, HTML, CSS, BOOTSTRAP, JAVASCRIPT, JQUERY, AJAX.Vebsigns Technologies is hiring for Full Stack developer."
Web Designer & Developer,Technest technology,"Chennai, Tamil Nadu","17,000 - 18,000 a month","Web designer and developer: 1 year (Required).Need one year experience and good working nature.Salary: ₹17,000.00 - ₹18,000.00 per month."
"IT/Networking - Manager, System Analyst, Graphic/Web Designe...",Vudum Srinu (Proprietor Of Suncity Star Technology...,"Hyderabad, Telangana","3,50,000 a year","Looking for python developer freshers can also apply.Should have knowledge in AWS services like codecommit, codepipeline, ec2, cloudwatch, s3, SES, SNS...etc…"
nan,Softcore Infotech,"New Delhi, Delhi",-999,"However, we will let you know if a suitable vacancy may arise.This is to inform you that there are no vacancies available."
PHP Developer | Full Stack Developer,RETREATS FOR ME,"Rajouri Garden, Delhi, Delhi",-999,Experienced in creating CRM using Laravel or similar technology.Understand the complexities of the technology stack and strive to implement improvements with a…
Android Developer,AppsInvo,"Noida, Uttar Pradesh",-999,"Exp: 1 to 4 Years.Hands-on experience in the full lifecycle of Android application development.Tech, BCA, MCA, B.S.C IT.Excellent knowledge of core Java."
"Full Stack Developer (NodeJS, Docker, SQL/NoSQL)",Jobsrefer,"Bengaluru, Karnataka","2,93,636 - 5,87,272 a month","The candidate may also assist in front-end implementation of user-facing features, and contribute to the full software development life cycle, from conception…"
Android Developer - Flutter Software,Massive Foundation,"Delhi, Delhi","40,000 - 60,010 a month","Contribute in all phases of the development lifecycle: concept, design, build, deploy, test, release to app stores and support.Total work: 1 year (Required)."
Android Developer,Reebrands Technologies,"Indore, Madhya Pradesh","15,000 - 25,000 a month",This Mobile App developer will work with our team of talented engineers to design and build the next generation of our mobile applications.
SOFTWARE DEVELOPER (JAVA) : SDJ,C2L Biz,"Mumbai, Maharashtra",-999,We are looking out for Java Professionals who are technically sound with good communication skills and a close fit to the job description below : Primary …
Staff Specialist Product Developer,BMC Software,"Pune, Maharashtra",-999,Works with other teams in Development as well as other areas such as Quality Assurance and Support to deliver quality products and customer satisfaction.
SQL Developer,WSD Consultant,"Bengaluru, Karnataka",-999,Evaluate all architecture for Oracle applications and prepare layouts for all logical models and maintain database objects for various application components.
UI Developer,RightData Technologies,"Hyderabad, Telangana","3,00,000 - 8,00,000 a year","3+ years of overall experience in building web applications.Programming expertise in JavaScript, jQuery, Ajax, Bootstrap.Notice period : Immediate to 30 Days."
Software Developer,Exclusife,"Noida, Uttar Pradesh",-999,"Knowledge of front-end coding, including JS, AJAX, SMRTY, jQuery, HTML, CSS and responsive web design.Experience with relational databases, including schema…"
Software Engineer,iGold Technologies Private Limited,"Chennai, Tamil Nadu","18,000 a month","Work closely with designers, artists and other staff involved in the design process in order to create a quality product to schedule."
Backend Developer,LearnQ.ai,"Bengaluru, Karnataka","5,50,000 a year",We are a technology and data-first business.We are seeking an extremely talented backend developer to help pioneer the next wave of Ed-Tech.
Senior Software Developer : Java,SITA,India,-999,"You will analyse the business users’ needs, then design and develop an application or leverage existing technology with customized enhancements to provide a…"
PHP Developer,LEO Software,"Shimla, Himachal Pradesh",-999,"Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and…"
Django Developer,Things Ally Private Limited,"Indore, Madhya Pradesh","11,736 - 42,227 a month","Believes in systematic approach to developing the system through clear documentation (flowcharts, layouts, & etc) of functionality, address every use case…"
Dot Net Developer,Acies Global,Remote,-999,"Collaborate with members of the website team, including designers and front-end developers, to consistently improve functionality and user-friendliness of web…"
Software Engineer - iOS,Samaira HR Solutions,"Gurgaon, Haryana","22,00,000 a year","3-5 years of experience in building scalable products, application architecture and design.You would be responsible for setting up processes and developing…"
Web Developer,ITIO INNOVEX PRIVATE LIMITED,"Ghaziabad, Uttar Pradesh","15,000 - 70,000 a month","Experienced required minimum 3-4 years.Should have the knowledge of HTML/XHTML, CSS, JavaScript,PHP.Salary: ₹15,000.00 - ₹70,000.00 per month."
JavaScript Developer,Escalon Business Services Pvt. Ltd,"Mohali, Punjab","9,60,000 a year","Assure that all user input is validated before submitting to back-end.._Experience in designing responsive & Adaptive websites using HTML5, CSS3, Bootstrap…"
Windows Developer,GlobalSpace Technologies Ltd.,"Navi Mumbai, Maharashtra","30,000 - 50,000 a month",GlobalSpace builds SAAS applications and hardware product platforms that aim to provide best-in-class enterprise-wide technology based solutions.
Software Developer,My Workforce,"Gurgaon, Haryana","3,00,000 - 7,00,000 a year",We are looking out for Software Developers who will be involved in all areas of development of software from design development to testing.
Senior Developer,NicheSoft Inc,"Bengaluru, Karnataka","4,55,846 - 10,57,914 a year",Must have prior experience of Custom control development using WPF (Using 3rd party controls such as Infragistics/Steema/Dev.Experience: * 4 to 7 Years.
MSTR Developer,Larsen & Toubro Infotech Limited,India,-999,"Exceptional verbal and written communications skills, with an ability to express complex technical concepts in business terms."
Software Development Engineer,Joulestowatts Business Solutions,"Bengaluru, Karnataka",-999,Note: all are mandatory skill sets.We have opening at our client place which is a reputed MNC.JOB Designation: Software Development ENGINEER.
Infrastructure Developer,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",-999,"You'll be using the latest technologies, data management, and security practices in all aspect of software development.BS/BA degree or equivalent experience."
Power BI Developer,Pion Global Pvt Ltd,"Bengaluru, Karnataka","8,00,000 - 12,00,000 a year",4 to 6 years; looking for higher end of the band.Total work: 4 years (Preferred).Should have prior experience in creating drill down reports charts &…
Software Test Engineer,FarEye,"Noida, Uttar Pradesh",-999,"As a QA at FarEye, you will be having an in-depth understanding of the business domain, customer needs and come up with possible solutions that might solve…"
Software Developer,Spine Software Systems Pvt. Ltd.,"Dera Bassi, Punjab","35,000 - 80,000 a month","Developing back-end web applications.Able to create database schemas according to business requirements.Familiarity with database technology such as MySQL,…"
Android | Flutter Developer,Cliffex,"Noida, Uttar Pradesh","12,000 - 50,000 a month","Experience with JSON, XML, JavaScript, and interfacing applications to server side API’s.Cliffex is looking for app developers with working experience of…"
PHP Developer,Pixel Solutionz,"Salt Lake City, West Bengal","20,000 - 35,000 a month",Experience in developing applications using Core PHP and Laravel .PHP MySQL Development Support for diverse Web based applications.
Sr. Server Developer,Hopefloats Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","65,000 - 75,000 a month",At least 5 years of experience in coding and development using C/C++/C# Language.Agile/SCRUM software development is preferred.4+ Years of experience of .
Software Test Engineer,Jagran New Media,"Delhi, Delhi","1,14,206 - 4,00,000 a year",Work with cross-functional teams to ensure quality throughout the software development life cycle.Candidate should have 2-3 Years of experience in Manual and…
HTML Developer,Techlive,"Noida, Uttar Pradesh",-999,"Experience in developing front-end components using Object Oriented JavaScript, HTML5, and CSS3.Develop and maintain features using JavaScript frameworks such…"
Angular Software Developer,Shah Investors Home Ltd,"Ahmedabad, Gujarat","1,80,000 - 4,50,000 a year","Great for all-rounders who want to work on the front end, back end, and mobile app.Required enthusiastic software developers for the fastest-growing trusted…"
PHP Developer,Dbest,"Pitampura, Delhi","15,000 - 20,000 a month","Should write clean, bug-free code; ensure coding quality meeting industry standards, responsible for a timely delivery.Software development: 1 year (Required)."
